sample,lat,long,verbatim_locality
t_pseu_31,-7.734722,146.4958333,"Gulf Province, Ivimka Camp, PNG"
t_pseu_32,-6.9211,144.962683,"Gulf Province, Sapoa Camp, PNG"
t_meek_33,-9.6692,149.0108,"Oro Province, Mt. Suckling, PNG"
t_pseu_34,-7.06995,144.3127,"Gulf Province, Dark End Camp, PNG"
t_meek_26,-9.446488,147.342108,"Varirata NP, PNG"
t_toro_36,-4.623639,142.749056,"East Sepik, Gahom Camp, PNG"
t_tent_04,-5.95,134.5667,"Wannambai, Kobror Is, Aru islands, WP"
t_pseu_12,-4.307533,136.507889,"Parimau, Mimika River, WP"
t_pseu_13,-4.7786,137.3373,"Satakwa River, Canoe Camp, WP"
t_ochr_03,-10.03121,150.97668,"Sewa Bay, Normanby Island"
t_flav_14,-0.571289,133.125058,"Amberbaki, WP"
t_toro_02,-2.716667,134.5,"Wasior, WP"
t_toro_06,-3,140.7,"Hollandia, Humbolt Bay, WP"
t_toro_07,-1.866667,130.166667,"Misol Is, WP"
t_toro_08,-0.23333,130.75,"Waigeu Is, WP"
t_toro_11,-2.91667,132.3,"Kepaur, WP"
t_toro_15,-1.296972,134.163266,"Mt. Mori (Maori), Arfak Mountains, WP"
t_toro_18,-2.566667,140.516667,"Ifaar (near Jayapyura), WP"
t_toro_19,-2.716667,134.5,"Kepaur, WP"
